asinan.neneng	,C
rujakbuahnonik_greenlakecity	,C
makanan_rumahan_frozen	,C
bu2rjo_ketsu	,C
saladtanteku	,C
buah_saladsegar	,C
serabipandan_69	,C
otak_otak_oma	,C
kebuli_dapurmumtaz	,C
rosanti_foodbox	,C
nastar_tho_shien	,C
tomyummy.food	,C
tahujeletottaisi_lebakbulus	,C
sambel.bu.narmi	,C
escampurbandung_oyen08	,C
lauk_unie	,C
lauk_celok	,C
tarahu.hanglekiu	,C
hauranawa.sushi	,C
mandalinda95	,C
cemilanjakarta46	,C
kincadurianbetawi	,C
djuragan_tapeuli	,C
tapeulimpokindun	,C
dapur.miah	,C
mendoan1.jkt	,C
mendoan_fals	,C
mendoanmawar	,C
heycake_id	,C
siomaypempekmakgita	,C
queensmartabak	,C
haskincake	,C
seahott25	,C
nasikebuli.btw	,C
birulauk	,C
tahukriukyespenggilingan	,C
ayamgorengsutarti	,C
osengpedaspincuk_jkt	,C
cemilan_bangjay	,C
bubonar	,C
asinansayurcutebraaay	,C
lazu.frozen	,C
cemilan_enak06	,C
tapeuli_khasbetawi	,C
tapeulimpokaan	,C
saladbuahmaiia.jaktim	,C
dapur.ghaisyanie	,C
mendoanlegenda	,C
morisoles_	,C
risoles_ayong_kelapagading	,	C
tekwanpopo	,	C
yessikatan	,	C
kebuliabdubinsultan	,	C
mamamasakenak	,	C
otak_otak_aling	,	C
otakotakmakassar.nat	,C
kebuli_menteng_pamulang	,C
pempeksanara	,C
kebulijordan.bintaro	,C
tahuslawibintaro	,C
dkriuk_mak_lambe	,C
kriuk_jamaah	,C
ayambakarmadubelbel	,C
mongaeco	,C
anekakue.bunda	,C
kuebasah_ciledug	,C
fruitmama_id	,C
frozenfood.mame	,C
rokussabi.id	,C
dimspacc	,C
makaroni_rese	,C
tapeulibymaksaroh	,C
tapeulinyakmu_bintaro	,C
warna125	,C
yujakfood	,C
negeribuah	,C
cirenggeulisjakarta	,C
rujakbebegjakarta	,C
toko_kuejakarta	,C
kuejakartatimur	,C
kuejakarta_	,C
ollabakes.id	,	N
kuring.jkt	,	N
jakartalapislegit	,	N
anakitchen_id	,	N
